Time,Latitude,Longitude,Depth,Altitude,Chlorophyll,cDOM,DissolvedOxygen
1569492092.79,63.58052625,10.50434656,10.163089,-1,1.0147000551,5.5552000999,232.913
1569492093.89,63.58051407,10.5043652,9.844286,-1,1.0512000322,5.5552000999,232.968
1569492095.04,63.58050046,10.5043815,9.499284,-1,1.0219999552,6.0032000542,233.149
1569492096.14,63.58048672,10.50439375,9.194075,-1,1.0074000359,5.7343997955,233.399
1569492097.29,63.58047189,10.50440284,8.887394,-1,1.0730999708,5.913599968,233.582
1569492098.39,63.58045736,10.5044079,8.593143,-1,1.0950000286,5.5552000999,233.656
1569492099.54,63.58044202,10.50440948,8.266138,-1,1.1315000057,5.5552000999,233.776
1569492100.69,63.58042669,10.50440718,7.958982,-1,1.1461000443,5.6448001862,234.022
1569492101.79,63.58041224,10.50440144,7.655456,-1,1.1753000021,5.6448001862,234.228
1569492102.94,63.58039753,10.50439182,7.313673,-1,1.2482999563,5.6448001862,234.475
1569492104.04,63.58038392,10.50437922,7.008057,-1,1.2848000526,5.8239998817,234.8445
1569492105.19,63.58037042,10.50436267,6.708404,-1,1.3358999491,5.7343997955,235.111
1569492106.29,63.58035829,10.50434401,6.408184,-1,1.3869999647,5.8239998817,235.336
1569492107.44,63.58034665,10.50432154,6.080709,-1,1.3796999454,5.7343997955,235.582
1569492108.54,63.5803366,10.50429743,5.786546,-1,1.3651000261,5.6448001862,235.727
1569492109.69,63.58032729,10.50427002,5.495712,-1,1.3724000454,5.6448001862,235.928
1569492110.79,63.58031959,10.50424198,5.193507,-1,1.4380999804,5.7343997955,236.051
1569492111.94,63.58031299,10.50421107,4.865049,-1,1.4600000381,5.913599968,236.125
1569492113.04,63.58030819,10.50418011,4.576138,-1,1.4307999611,5.7343997955,236.6185
1569492114.19,63.58030479,10.50414672,4.290257,-1,1.4965000153,6.0928001404,236.669
1569492115.29,63.58030304,10.50411425,4.008654,-1,1.4234999418,6.5408000946,236.81
1569492116.44,63.58030283,10.50408005,3.691078,-1,1.4380999804,5.913599968,236.848
1569492117.54,63.58030422,10.50404744,3.411365,-1,1.5038000345,6.0032000542,237.09
1569492118.69,63.58030726,10.50401387,3.138537,-1,1.4600000381,5.7343997955,237.306
1569492119.79,63.58031169,10.50398272,2.858034,-1,1.4089000225,6.0032000542,237.483
1569492120.94,63.58031789,10.50395144,2.550338,-1,1.3140000105,5.913599968,237.597
1569492122.09,63.58032559,10.50392194,2.270447,-1,1.2702000141,5.6448001862,237.832
1569492123.19,63.58033426,10.50389576,1.985004,-1,1.1753000021,5.6448001862,238.094
1569492124.34,63.58034448,10.50387027,1.668519,-1,1.0730999708,5.7343997955,238.45
1569492125.44,63.58035541,10.50384897,1.356866,-1,1.1095999479,6.0928001404,238.242
1569492126.59,63.58036779,10.50382918,1.087313,-1,0.9782000184,5.913599968,238.311
1569492127.69,63.58038078,10.50381344,0.806114,-1,0.9782000184,5.6448001862,238.362
1569492128.84,63.5803951,10.50379935,0.585662,-1,0.8687000275,5.3759999275,238.455
1569492129.94,63.58040952,10.50378888,0.47109,-1,0.9125000238,6.1824002266,238.641
1569492131.09,63.58042514,10.50378249,0.390566,-1,0.8759999871,5.8239998817,238.876
1569492132.19,63.58044021,10.50378102,0.268859,-1,0.83950001,5.7343997955,238.885
1569492133.34,63.58045423,10.50378233,0.128389,-1,0.8321999907,5.8239998817,239.026
1569492134.44,63.58046059,10.50378327,0.042569,-1,0.8176000118,5.6448001862,239
1569492135.59,63.58046102,10.50378334,0.033238,-1,0.8176000118,6.0032000542,239.166
1569492136.69,63.58024629,10.50341638,0.096354,-1,0.8468000293,5.913599968,239.072
1569492137.84,63.58021042,10.50333977,0.067027,-1,0.8468000293,5.913599968,239.185
1569492138.94,63.58021854,10.50333523,0.14701,-1,0.8176000118,5.6448001862,239.224
1569492140.09,63.58022343,10.50332449,0.081663,-1,0.8759999871,6.3615999222,247.8995
1569492141.19,63.58022477,10.50330411,0.046024,-1,0.8687000275,6.271999836,239.218
1569492142.34,63.58022811,10.50330064,0.063404,-1,0.8833000064,6.3615999222,239.286
1569492143.44,63.58022586,10.50328896,0.026934,-1,0.8540999889,6.1824002266,239.201
1569492144.59,63.58022508,10.50328264,0.094973,-1,0.8540999889,6.1824002266,252.044
1569492145.74,63.58022483,10.50327634,0.084963,-1,0.8759999871,5.4656000137,258.785
1569492146.84,63.58022352,10.50327036,0.070182,-1,0.8978999853,5.913599968,239.448
1569492147.99,63.58022387,10.50326131,0.183604,-1,0.8759999871,5.8239998817,239.798
1569492149.09,63.58021593,10.50323937,0.212932,-1,0.8833000064,5.8239998817,239.3185
1569492150.24,63.58021366,10.50323219,0.142327,-1,0.8833000064,5.4656000137,239.297
1569492151.34,63.58020902,10.50322329,0.04163,-1,0.934400022,6.271999836,239.095
1569492152.49,63.58020727,10.50321674,0.08622,-1,0.8978999853,5.913599968,239.697
1569492153.59,63.58020378,10.5032093,0.09382,-1,0.8759999871,5.4656000137,270.688
1569492154.74,63.58020014,10.50320612,0.019729,-1,0.8687000275,5.8239998817,239.424
1569492155.84,63.5801969,10.50320039,0.034344,-1,0.8978999853,5.4656000137,239.708
1569492156.99,63.58019466,10.50319652,0.03197,-1,0.9708999991,5.6448001862,239.35
1569492158.09,63.58018628,10.50317045,0.0701,-1,0.8833000064,5.7343997955,239.3765
1569492159.24,63.58018338,10.50316275,0.071795,-1,0.8468000293,5.8239998817,239.43
1569492160.34,63.58018075,10.50315481,0.077609,-1,0.9197999835,5.5552000999,250.888
1569492161.49,63.5801796,10.50314487,0.060213,-1,1.0657999516,5.913599968,239.399
1569492162.59,63.58017744,10.50314005,0.083028,-1,1.0074000359,5.0176000595,239.433
1569492163.74,63.58017418,10.50313213,0.084017,-1,1.0585000515,5.2863998413,275.238
