timestamp,gmtTime,latitude,longitude,latitudeCorr,longitudeCorr,altitude,depth,medium,conductivity,temperature,salinity
1569500594.68409,12:23:14.684,63.5872937145343,10.5042784288174,63.5848374418379,10.5040206233986,-1,85.92,UNDERWATER,3.628,9.447,33.626
1569500595.68423,12:23:15.684,63.5872808472858,10.5042784305672,63.5848197907756,10.5040201565073,-1,86.49,UNDERWATER,3.627,9.447,33.626
1569500596.68413,12:23:16.684,63.5872680190862,10.5042784092823,63.5848013263923,10.5040196038292,-1,87.06,UNDERWATER,3.627,9.439,33.625
1569500597.68397,12:23:17.683,63.5872551727767,10.5042784611359,63.5847845812139,10.5040191507858,-1,87.63,UNDERWATER,3.627,9.439,33.628
1569500598.68408,12:23:18.684,63.5872423552747,10.5042784168191,63.5847670059384,10.5040186943294,-1,88.22,UNDERWATER,3.626,9.384,33.628
1569500599.68411,12:23:19.684,63.5872295211943,10.5042780378471,63.5847485257944,10.5040179461762,-1,88.82,UNDERWATER,3.618,9.208,33.702
1569500600.68417,12:23:20.684,63.5872167175311,10.5042774932197,63.5847317990467,10.5040170017349,-1,89.42,UNDERWATER,3.615,9.16,33.748
1569500601.68409,12:23:21.684,63.5872038620596,10.5042769086164,63.5847142274737,10.5040159184039,-1,89.99,UNDERWATER,3.614,9.135,33.756
1569500602.68396,12:23:22.683,63.5871910048157,10.504276536981,63.5846957035985,10.5040148838232,-1,90.57,UNDERWATER,3.613,9.12,33.77
1569500603.68399,12:23:23.683,63.5871781497881,10.5042763635704,63.5846789945664,10.5040141659301,-1,91.14,UNDERWATER,3.612,9.081,33.779
1569500604.68358,12:23:24.683,63.5871652874066,10.5042763063146,63.5846613311511,10.5040135521235,-1,91.7,UNDERWATER,3.61,9.063,33.794
1569500605.68354,12:23:25.683,63.5871524572364,10.5042764316076,63.5846437531109,10.5040130827564,-1,92.26,UNDERWATER,3.608,9.021,33.805
1569500606.68405,12:23:26.684,63.5871395747451,10.5042766613963,63.5846261115394,10.5040127867207,-1,92.83,UNDERWATER,3.606,8.994,33.817
1569500607.68413,12:23:27.684,63.5871267666667,10.5042769710955,63.5846084957016,10.504012530935,-1,93.4,UNDERWATER,3.599,8.781,33.834
1569500608.68405,12:23:28.684,63.587113911819,10.5042774006612,63.5845909018065,10.5040124266718,-1,93.99,UNDERWATER,3.591,8.663,33.912
1569500609.68359,12:23:29.683,63.5871011105057,10.5042777242012,63.5845732864855,10.5040123390037,-1,94.56,UNDERWATER,3.586,8.611,33.968
1569500610.68357,12:23:30.683,63.5870882826921,10.5042778261764,63.5845557286596,10.5040120319184,-1,95.16,UNDERWATER,3.584,8.512,33.986
1569500611.68349,12:23:31.683,63.5870754164081,10.5042779213783,63.5845381046025,10.5040116323245,-1,95.74,UNDERWATER,3.576,8.362,34.081
1569500612.68382,12:23:32.683,63.5870625897122,10.5042778306357,63.5845204849483,10.5040111506686,-1,96.31,UNDERWATER,3.575,8.332,34.111
1569500613.68382,12:23:33.683,63.5870497571964,10.5042775398372,63.5845029003491,10.5040104661933,-1,96.89,UNDERWATER,3.573,8.317,34.124
1569500614.68344,12:23:34.683,63.5870363412541,10.5042769104143,63.5844851635921,10.5040095373656,-1,97.31,UNDERWATER,3.573,8.309,34.131
1569500615.68345,12:23:35.683,63.5870223567981,10.5042760266578,63.58446652212,10.5040082305695,-1,97.37,UNDERWATER,3.573,8.307,34.136
1569500616.68345,12:23:36.683,63.5870086323607,10.5042752240826,63.5844478926847,10.5040068587755,-1,97.17,UNDERWATER,3.573,8.312,34.133
1569500617.68348,12:23:37.683,63.5869952062975,10.5042746512466,63.5844286753489,10.5040056161692,-1,96.82,UNDERWATER,3.573,8.317,34.13
1569500618.68374,12:23:38.683,63.5869819393957,10.5042742651863,63.5844124183485,10.5040047361508,-1,96.39,UNDERWATER,3.573,8.327,34.125
1569500619.68341,12:23:39.683,63.5869687341548,10.5042740097053,63.5843935398103,10.5040038942866,-1,95.93,UNDERWATER,3.574,8.339,34.121
1569500620.68373,12:23:40.683,63.5869555575109,10.5042736727658,63.5843756090106,10.5040031329937,-1,95.44,UNDERWATER,3.575,8.388,34.106
1569500621.68336,12:23:41.683,63.5869423918041,10.5042731114835,63.5843576916166,10.5040021629884,-1,94.96,UNDERWATER,3.581,8.539,34.044
1569500622.68393,12:23:42.683,63.5869292209594,10.5042727176793,63.5843397852027,10.5040011543352,-1,94.46,UNDERWATER,3.586,8.655,33.985
1569500623.68388,12:23:43.683,63.5869160344745,10.5042725869515,63.5843218600956,10.5040003952133,-1,93.98,UNDERWATER,3.588,8.684,33.949
1569500624.68389,12:23:44.683,63.5869028696711,10.5042726363041,63.5843039513553,10.5039998708678,-1,93.48,UNDERWATER,3.59,8.706,33.934
1569500625.68387,12:23:45.683,63.5868896852444,10.5042727766251,63.5842860321417,10.5039994848136,-1,92.99,UNDERWATER,3.591,8.77,33.931
1569500626.68395,12:23:46.683,63.5868764960643,10.5042729206421,63.5842681059396,10.503999125393,-1,92.51,UNDERWATER,3.597,8.888,33.871
1569500627.68376,12:23:47.683,63.5868633578482,10.5042730953994,63.5842501739411,10.5039987944413,-1,92.03,UNDERWATER,3.6,8.929,33.846
1569500628.68335,12:23:48.683,63.5868502235138,10.5042732302079,63.5842323133238,10.5039984369735,-1,91.55,UNDERWATER,3.604,9.014,33.833
1569500629.68325,12:23:49.683,63.5868370965766,10.5042734639594,63.5842144439545,10.5039981292971,-1,91.06,UNDERWATER,3.608,9.043,33.8
1569500630.68332,12:23:50.683,63.5868240072748,10.5042737284393,63.5841965866439,10.5039978849236,-1,90.56,UNDERWATER,3.607,9.052,33.79
1569500631.68363,12:23:51.683,63.5868109181523,10.5042738598595,63.5841787632678,10.5039976245689,-1,90.07,UNDERWATER,3.609,9.117,33.775
1569500632.68374,12:23:52.683,63.5867978299215,10.5042738038047,63.5841609363758,10.5039971490618,-1,89.57,UNDERWATER,3.61,9.129,33.758
1569500633.68366,12:23:53.683,63.5867847211181,10.5042735974811,63.5841430847174,10.5039965144189,-1,89.08,UNDERWATER,3.611,9.141,33.745
1569500634.68374,12:23:54.683,63.5867716163958,10.504273348425,63.5841252367893,10.5039957789636,-1,88.58,UNDERWATER,3.611,9.133,33.747
1569500635.68367,12:23:55.683,63.5867585143891,10.5042729844315,63.584107388271,10.5039949921765,-1,88.07,UNDERWATER,3.612,9.165,33.751
1569500636.68364,12:23:56.683,63.586745407063,10.5042726816019,63.5840895484178,10.5039941190328,-1,87.58,UNDERWATER,3.614,9.183,33.74
1569500637.68384,12:23:57.683,63.5867322959923,10.5042724617523,63.5840716872841,10.5039933777257,-1,87.08,UNDERWATER,3.615,9.195,33.735
1569500638.68373,12:23:58.683,63.5867191935214,10.5042722071686,63.584053847545,10.5039926576365,-1,86.58,UNDERWATER,3.619,9.303,33.737
1569500639.68361,12:23:59.683,63.586706088316,10.5042719931505,63.5840359987895,10.5039918954163,-1,86.08,UNDERWATER,3.624,9.341,33.699
1569500640.68412,12:24:00.684,63.5866929696574,10.5042719186649,63.584018150526,10.5039912491028,-1,85.59,UNDERWATER,3.625,9.394,33.678
1569500641.68361,12:24:01.683,63.5866798692256,10.5042719978481,63.5840002893544,10.5039907714835,-1,85.1,UNDERWATER,3.631,9.53,33.612
1569500642.68406,12:24:02.684,63.5866667839497,10.5042720014238,63.583982463813,10.5039903298238,-1,84.61,UNDERWATER,3.633,9.552,33.595
1569500643.68377,12:24:03.683,63.5866536585184,10.5042720237306,63.583964610838,10.5039898263898,-1,84.11,UNDERWATER,3.638,9.654,33.593
1569500644.68401,12:24:04.684,63.5866405508416,10.5042720844663,63.5839467475238,10.5039893819571,-1,83.62,UNDERWATER,3.645,9.787,33.554
1569500645.6836,12:24:05.683,63.5866274395872,10.5042721362736,63.5839288967702,10.5039889470452,-1,83.12,UNDERWATER,3.653,9.908,33.483
1569500646.68318,12:24:06.683,63.5866143236066,10.5042722314221,63.5839110477663,10.5039885056875,-1,82.62,UNDERWATER,3.657,10.001,33.446
1569500647.68359,12:24:07.683,63.5866012094643,10.5042722149965,63.5838931860947,10.5039880637132,-1,82.11,UNDERWATER,3.659,10.011,33.417
1569500648.6837,12:24:08.683,63.5865880771584,10.5042721518805,63.5838753178537,10.5039875415325,-1,81.62,UNDERWATER,3.661,10.065,33.412
1569500649.68363,12:24:09.683,63.5865749650785,10.5042719882733,63.5838574529416,10.5039869105724,-1,81.13,UNDERWATER,3.663,10.089,33.397
1569500650.68384,12:24:10.683,63.5865618503064,10.5042717260202,63.5838395870897,10.5039862300994,-1,80.64,UNDERWATER,3.665,10.161,33.395
1569500651.68353,12:24:11.683,63.5865487555765,10.5042713245448,63.5838217550369,10.5039853701933,-1,80.14,UNDERWATER,3.673,10.285,33.35
1569500652.68374,12:24:12.683,63.5865356455954,10.5042709412327,63.5838039049899,10.5039844801843,-1,79.67,UNDERWATER,3.674,10.293,33.318
1569500653.6834,12:24:13.683,63.5865225416156,10.5042706420954,63.5837860580757,10.5039836233442,-1,79.17,UNDERWATER,3.674,10.292,33.31
1569500654.68372,12:24:14.683,63.5865094302723,10.5042704231822,63.5837682057651,10.5039828685475,-1,78.69,UNDERWATER,3.673,10.287,33.313
